date,days of week
2021-12-15,Wednesday
2021-12-16,Thursday
2021-12-17,Friday
2021-12-18,Saturday
2021-12-19,Sunday
2021-12-20,Monday
2021-12-21,Tuesday
2021-12-22,Wednesday
2021-12-23,Thursday
2021-12-24,Friday
2021-12-25,Saturday
2021-12-26,Sunday
2021-12-27,Monday
2021-12-28,Tuesday
2021-12-29,Wednesday
2021-12-30,Thursday
2021-12-31,Friday
2022-01-01,Saturday
2022-01-02,Sunday
2022-01-03,Monday
2022-01-04,Tuesday
2022-01-05,Wednesday
2022-01-06,Thursday
2022-01-07,Friday
2022-01-08,Saturday
2022-01-09,Sunday
2022-01-10,Monday
2022-01-11,Tuesday
2022-01-12,Wednesday
2022-01-13,Thursday
2022-01-14,Friday
2022-01-15,Saturday
2022-01-16,Sunday
2022-01-17,Monday
2022-01-18,Tuesday
2022-01-19,Wednesday
2022-01-20,Thursday
2022-01-21,Friday
2022-01-22,Saturday
2022-01-23,Sunday
2022-01-24,Monday
2022-01-25,Tuesday
2022-01-26,Wednesday
2022-01-27,Thursday
2022-01-28,Friday
2022-01-29,Saturday
2022-01-30,Sunday
2022-01-31,Monday
2022-02-01,Tuesday
2022-02-02,Wednesday
2022-02-03,Thursday
2022-02-04,Friday
2022-02-05,Saturday
2022-02-06,Sunday
2022-02-07,Monday
2022-02-08,Tuesday
2022-02-09,Wednesday
2022-02-10,Thursday
2022-02-11,Friday
2022-02-12,Saturday
2022-02-13,Sunday
2022-02-14,Monday
2022-02-15,Tuesday
2022-02-16,Wednesday
2022-02-17,Thursday
2022-02-18,Friday
2022-02-19,Saturday
2022-02-20,Sunday
2022-02-21,Monday
2022-02-22,Tuesday
2022-02-23,Wednesday
2022-02-24,Thursday
2022-02-25,Friday
2022-02-26,Saturday
2022-02-27,Sunday
